Title,Keywords,Topics,High-Level Keyword(s),Abstract
On the Social Welfare of Mechanisms for Repeated Batch Matching,"Online matching
Social welfare
Kidney exchange
Job market","Mechanism Design
Sequential Decision Making","Multiagent Systems
Reasoning under Uncertainty","We study hybrid online-batch matching problems, where agents arrive continuously, but are only matched in periodic rounds, when many of them can be considered simultaneously. Agents not getting matched in a given round remain in the market for the next round. This setting models several scenarios of interest, including many job markets as well as kidney exchange mechanisms. We consider the social utility of two commonly used mechanisms for such markets: one that aims for stability in each round (greedy), and one that attempts to maximize social utility in each round (max-weight). Surprisingly, we find that in the long term, the social utility of the greedy mechanism can be higher than that of the max-weight mechanism. We hypothesize that this is because the greedy mechanism behaves similarly to a soft threshold mechanism, where all connections below a certain threshold are rejected by the participants in favor of waiting until the next round. Motivated by this observation, we propose a method to approximately calculate the optimal threshold for an individual agent to use based on characteristics of the other agents participating, and demonstrate experimentally that social utility is high when all agents use this strategy. Thresholding can also be applied by the mechanism itself to improve social welfare; we demonstrate this with an example on graphs that model pairwise kidney exchange."
Multi-Label Learning with PRO Loss,"Machine Learning
Multi-Label Learning
Learning Algorithm","Classification
Preferences/Ranking Learning",Machine Learning,"Multi-label learning approaches assign multiple labels to one object. However, besides differentiating relevant labels from irrelevant ones, it is often required in real applications to rank the \textit{relevant} labels for an object, while the ranking of \textit{irrelevant} labels is not so valuable. Such a requirement, however, cannot be well satisfied by existing approaches. One crucial reason is that most approaches were designed to optimize existing criteria, yet there is no criterion which encodes the above requirement. In this paper, we design a new criterion, \textsf{PRO Loss}, which concerns about the prediction on all labels as well as the ranking of relevant labels, while neglecting the ranking of irrelevant ones. We then propose the ProSVM approach which optimizes the \textsf{PRO Loss} efficiently using alternating direction method of multipliers. We further improve efficiency with an upper approximation that reduces the number of constraints from $O(T^2)$ to $O(T)$, where $T$ is the number of labels. Experiments show that our proposals are not only superior to state-of-the-art approaches on \textsf{PRO Loss}, but also highly competitive on existing evaluation criteria."
Backdoors to Normality for Disjunctive Logic Programs,"backdoors
parameterized complexity
computational complexity
answer set programming","Logic Programming
Nonmonotonic Reasoning",Knowledge Representation and Reasoning,"Over the last two decades, propositional satisfiability (SAT) has become one of the most successful and widely applied techniques for the solution of NP-complete problems. The aim of this paper is to investigate theoretically how SAT can be utilized for the efficient solution of problems that are harder than NP or co-NP. In particular, we consider the fundamental reasoning problems in propositional disjunctive answer set programming (ASP), brave reasoning and cautious reasoning, which ask whether a given atom is contained in at least one or in all answer sets, respectively. Both problems are located at the second level of the Polynomial Hierarchy and thus assumed to be harder than NP or co-NP. One cannot transform these two reasoning problems to SAT in polynomial time, unless the Polynomial Hierarchy collapses.
We show that certain structural aspects of disjunctive logic programs can be utilized to break through this complexity barrier, using new techniques from Parameterized Complexity. In particular, we exhibit transformations from brave and cautious reasoning to SAT that run in time O(2^k n^2) where k is a structural parameter of the instance and n the input size. In other words, the reduction is fixed-parameter tractable for parameter k. As the parameter k we take the size of a smallest backdoor with respect to the class of normal (i.e., disjunction-free) programs. Such a backdoor is a set of atoms that when deleted makes the program normal. In consequence, the combinatorial explosion, which is expected when transforming a problem from the second level of the Polynomial Hierarchy to the first level, can now be confined to the parameter k, while the running time of the reduction is polynomial in the input size n, where the order of the polynomial is independent of k. We show that such a transformation is not possible if we consider backdoors with respect to tightness instead of normality."
A First-Order Formalization of Commitments and Goals,"Agent commitments
Multiagent Systems
Planning","Agent Communication
Planning (General/Other)","Multiagent Systems
Reasoning about Plans, Processes, and Actions","Commitments have been shown to model interactions in multiagent
systems in a computationally realizable yet high-level manner without
compromising the autonomy and heterogeneity of the member agents.
Recent work has shown how to combine commitments with goals and apply
methods such as planning by which agents can determine their actions.
However, previous approaches to modeling commitments have been
confined to propositional representations, which limits their
applicability in practical cases.

We propose a first-order representation and reasoning technique for
commitments and goals that accommodates settings where the commitments
and goals are templatic and may be applied repeatedly with differing
bindings for domain objects.  Doing so not only leads to a more
perspicuous modeling, it also enables us to support a variety of
practical patterns.  In particular, our approach can handle the
piecemeal progress, consolidation, delegation, and compensation of
commitments."
A Morphogenetically Assisted Design Variation Tool,"automated design
functional blue prints
design automation","Constraint Satisfaction (General/other)
Other Applications","Constraints and Satisfiability
Applications","The complexity and tight integration of electromechanical systems
  often makes them ``brittle'' and hard to modify in response to
  changing requirements. 

  We aim to remedy this by capturing expert knowledge in functional
  blueprints, which is an idea inspired by the regulatory processes that occur during 
natural morphogenesis. We   then apply this knowledge
  in an intelligent design variation tool.

  When a user modifies a design, our tool modifies other components in
  response, so that the design remains integrated and functional.

  This is accomplished by blending the actions of functional
  blueprints to incrementally navigate the space of viable designs,
  obviating the need for costly search or constraint solving.

  We also refine the concept of functional blueprints and discuss
  practical issues in applying them to electromechanical systems.

  Finally, we validate the approach by applying our prototype tool to
  create variants of a miniDroid robot and by empirical evaluation of
  the convergence dynamics of networks of functional blueprints."
Towards Cohesive Anomalies Mining,"data mining
clustering
rare pattern",Data Mining and Knowledge Discovery,Machine Learning,"In some applications, such as bioinformatics, social network analysis, and computational criminology, it is desirable to find compact clusters formed by a (very) small portion of objects in a large data set.  Although in general it is still a clustering problem, it cannot be served well by the conventional clustering methods since generally those methods try to assign most of the data objects into clusters. Since such clusters are comprised of a small number of objects, they are extraordinary and anomalous with respect to the entire data set. In this paper, we model this novel and application-inspired task as the problem of mining cohesive anomalies. We propose a general framework and a principled approach to tackle the problem.  The experimental results on both synthetic and real data sets verify the effectiveness and efficiency of our approach."
Boosting Lifted Likelihood Maximization for MAP Inference by Virtual Evidence,"MAP Inference
Likelihood Maximization
Lifted Inference
Pseudo Evidence","Graphical Models (Other)
Probabilistic Inference
Relational Probabilistic Models",Reasoning under Uncertainty,"By handling whole sets of indistinguishable objects together, lifted belief propagation approaches have rendered large, previously intractable, probabilistic inference problems quickly solvable. In this paper, we show that Kumar and Zilberstein’s likelihood maximization approach to MAP inference is liftable, too, and actually provides additional structure for optimization. Specifically, it has been recognized that some pseudo marginals may converge quickly, turning intuitively into pseudo evidence. This additional evidence typically changes the structure of the lifted network: it may refine or coarsen it. The current lifted network, however, can be viewed as an upper bound on the size of the lifted network required to finish likelihood maximization. Consequently, we update the structure of the lifted network only if the pseudo evidence yields a smaller network, which can efficiently be computed on the current lifted network. Our experimental results on MLNs, Ising models, image segmentation and relational entity resolution demonstrate that this ``bootstrapped'' lifted likelihood maximization finds MAP assignments comparable to those found by Kumar and Zilberstein's original approach, but in a fraction of the time."
Automating Collusion Detection in Sequential Games,"Sequential Games
Agent Evaluation
Collusion","Game Theory
Multiagent Learning
Evaluation and Analysis (Multiagent Systems)
Multiagent Systems (General/other)",Multiagent Systems,"Collusion is the practice of two parties deliberately cooperating to the detriment of others.  While such behavior may be desirable in certain circumstances, in many it is considered dishonest and unfair.  If agents otherwise hold strictly to the established rules, though, collusion can be challenging to police.  In this paper, we introduce an automatic method for collusion detection in sequential games.  We achieve this through a novel object, called a collusion table, that aims to capture the effects of collusive behavior, i.e., advantage to the colluding parties, without committing to any particular pattern of behavior.  We demonstrate the effectiveness of this method in the domain of poker, a popular game where collusion is prohibited."
Instructor Rating Markets,"prediction markets
mechanism design
manipulation and collusion","Bayesian Learning
Auctions and Market-Based Systems
Coordination and Collaboration
Game Theory
Mechanism Design
Computational Social Science
Human-Computer Interaction
Decision/Utility Theory
Probabilistic Inference
Uncertainty in AI (General/Other)","Machine Learning
Multiagent Systems
Applications
Multidisciplinary Topics
Reasoning under Uncertainty","We describe the design of Instructor Rating Markets (IRMs) where human participants interact through intelligent automated market-makers in order to provide dynamic collective feedback to instructors on the progress of their classes. The markets are among the first to enable the controlled study of prediction markets where traders can affect the very outcomes they are trading on. More than 200 students across a university campus participated in markets for ten classes in the Fall 2010 semester. In this paper, we describe how we designed these markets in order to elicit useful information, and analyze data from the deployment.  We show that market prices convey useful information on future instructor ratings and contain significantly more information than do past ratings. The bulk of useful information contained in the price of a particular class is provided by students who are in that class, showing that the markets are serving to disseminate insider information. At the same time, we find little evidence of attempted manipulation by raters. The markets are also a laboratory for comparing different market designs and the resulting price dynamics, and we show how they can be used to compare market making algorithms."
Extending STR to a Higher-Order Consistency,"propagation
higher-order consistencies
table constraints",Constraint Satisfaction,Constraints and Satisfiability,"One of the most widely studied classes of constraints in constraint programming (CP) is that of table constraints. Numerous specialized filtering algorithms, enforcing the wellknown property called generalized arc consistency (GAC), have been developed for such constraints. Among the most successful GAC algorithms for table constraints, we find variants of simple tabular reduction (STR), like STR2. In this paper, we propose an extension of STR-based algorithms that achieves full pairwise consistency (FPWC), a consistency stronger than GAC and max Restricted Pairwise Consistency (maxRPWC). Our approach involves counting the number of occurrences of specific combinations of values in constraint intersections. Importantly, the worst-case time complexity of one call to the basic filtering procedure at the heart of our new algorithm is quite close to that of STR algorithms. Experiments demonstrate that our method can outperform STR2 in many classes of problems, being significantly faster in some cases. Also, it is clearly superior to maxRPWC+, an algorithm that has been recently proposed."
SMILe: Shuffled Multiple-Instance Learning,"multiple-instance learning
resampling
active learning","Active Learning
Classification",Machine Learning,"Resampling techniques such as bagging are often used in supervised learning to produce more accurate classifiers. In this work, we show that multiple-instance learning admits a different form of resampling, which we call ""shuffling."" In shuffling, we resample instances in such a way that the resulting bags are likely to be correctly labeled. We show that resampling results in both a reduction of bag label noise and a propagation of additional informative constraints to a multiple-instance classifier. We empirically evaluate shuffling in the context of multiple-instance classification and multiple-instance active learning and show that the approach leads to significant improvements in accuracy."
Joint inference of extraction and labelling via graph propagation for dictionary construction,"information extraction
graph propagation
joint inference","Information Extraction
Natural Language Processing (General/Other)",Natural Language Processing,"In this paper, we present an approach that jointly infers the boundaries of tokens and their labels to construct dictionaries for Information Extraction (IE). Our approach for joint-inference is based on a graph propagation framework, and extends it in two novel ways. First, we extend the graph representation to capture ambiguities that occur during the token extraction phase. Second, we modify the labeling phase (i.e. label propagation) to utilize this new representation, allowing evidence from labeling to be used for token extraction. Our evaluation shows these extensions (and hence our approach) significantly improve the performance of the outcome dictionaries over pipeline-based approaches by preventing aggressive commitment. Our evaluation also shows that our extensions over a base graph-propagation framework was able to improve the precision without hurting the recall."
Large-Scale Hierarchical Classification via Stochastic Perceptron,"Hierarchical classification
large margin
perceptron
kernel","Classification
Structured Prediction",Machine Learning,"The hierarchical classification (HC) problem with structured outputs is an important issue in machine learning and data mining. There are many state-of-the-art algorithms solving this problem. However, most of them suffer from high computational costs. To efficiently solves this problem, we propose a large margin method based on stochastic perceptron (SP). Differing from the conventional perceptron algorithm, we give a stochastic choice procedure to decide the direction of next iteration. This procedure leads to significant improvements in the classification accuracy in comparison with the conventional perceptron algorithm.
We prove that after finite iterations the SP algorithm yields a sub-optimal solution with high probability when the input instances are separable. For large-scale and high-dimensional datasets, we devise a kernel SP algorithm, which dramatically reduces the memory space needed. The kernel SP algorithm  has the merit of low space complexity as well as low time complexity. We conduct empirical analysis. The experimental results show that our approach achieves almost the same accuracy as the state-of-the-art algorithms on the real-world datasets, but with much less CPU running time."
Dynamic Minimization of Sentential Decision Diagrams,"knowledge compilation
binary decision diagrams
dynamic reordering",Knowledge Representation (General/Other),Knowledge Representation and Reasoning,"The Sentential Decision Diagram (SDD) is a recently proposed
representation of Boolean functions, containing Ordered Binary
Decision Diagrams (OBDDs) as a distinguished subclass. While OBDDs are
characterized by total variable orders, SDDs are characterized more
generally by structures called vtrees. As both OBDDs and SDDs have
canonical representations, searching for OBDDs and SDDs of minimal
size simplifies to searching for variable orders and vtrees,
respectively. For OBDDs, there are effective heuristics for the
dynamic ordering of variables, based on locally swapping variables.
In this paper, we propose an analogous approach for SDDs which
navigates the space of vtrees via two operations: one based on tree
rotations and a second based on swapping children in a vtree.  We
propose a particular heuristic for dynamically searching the space of
vtrees, showing that it can find SDDs that are an order-of-magnitude
more concise than OBDDs found by CUDD."
Salient Object Detection via Low-Rank and Structured Sparse Matrix Decomposition,"Salient Object Detection
Low Rank
Structured Sparsity
Matrix Decomposition","Cognitive Modeling
Vision, Object Recognition, and Perception
Robotics (General/Other)","Multidisciplinary Topics
Robotics","Salient object detection provides an alternative solution to various image semantic understanding tasks such as object recognition, adaptive compression and image retrieval. Recently, low-rank matrix recovery (LR) theory has been introduced into saliency detection, and achieves impressed results. However, the existing LR-based models neglect the underlying structure of images, and inevitably degrade the associated performance. In this paper, we propose a Low-rank and Structured sparse Matrix Decomposition (LSMD) model for salient object detection. In the model, a tree-structured sparsity-inducing norm regularization is firstly introduced to provide a hierarchical description of the image structure to ensure the completeness of the extracted salient object. The similarity of saliency values within the salient object is then guaranteed by the $\ell_\infty$-norm. Finally, high-level priors are integrated to guide the matrix decomposition and enhance the saliency detection. Experimental results on the largest public benchmark database show that our model outperforms existing LR-based approaches and other state-of-the-art methods, which verifies the effectiveness and robustness of the structure cues in our model."
Teaching Classification Boundaries to Humans,"Classification
Teaching Classification
Human Learning","Classification
Supervised Learning (Other)
Computer-Aided Education
Cognitive Modeling","Machine Learning
Applications
Multidisciplinary Topics","Given a classification task, what is the best way to teach the resulting boundary to a human? While machine learning techniques can provide excellent methods for finding the boundary, including the selection of examples in an online setting, they tell us little about how we would teach a human the same task. We propose to investigate the problem of example selection and presentation in the context of teaching humans, and explore a variety of mechanisms in the interests of finding what may work best. In particular, we begin with the baseline of random presentation and then examine combinations of several mechanisms: the indication of an example’s relative difficulty, the use of the shaping heuristic from the cognitive science literature (moving from easier examples to harder ones), and a novel kernel-based “coverage model” of the subject’s mastery of the task. From our experiments on 53 human subjects learning and performing a pair of synthetic classification tasks via our teaching system, we found that we can achieve the greatest gains with a combination of shaping and the coverage model."
Fast Equilibrium Computation for Infinitely Repeated Games,"Equilibrium Computation
Repeated Games
Folk Theorem
Game Theory
Nash Equilibrium",Game Theory,Multiagent Systems,"It is known that an equilibrium of an infinitely repeated two-player game
  (with limit average payoffs) can be computed in polynomial time, as
  follows: according to the folk theorem, we compute minimax strategies for
  both players to calculate the punishment values, and subsequently find a
  mixture over outcomes that exceeds these punishment values.  However, for
  very large games, even computing minimax strategies can be prohibitive.
  In this paper, we propose an algorithmic framework for computing
  equilibria of repeated games that does not require linear programming and
  that does not necessarily need to inspect all payoffs of the game.  This
  algorithm necessarily sometimes fails to compute an equilibrium, but we
  mathematically demonstrate that most of the time it succeeds quickly on
  uniformly random games, and experimentally demonstrate this for other
  classes of games.  This also holds for games with more than two players,
  for which no efficient general algorithms are known."
Composition Games for Distributed Systems: the EU Grant games,"Group formation
Price of Anarchy
Network games","Coordination and Collaboration
Game Theory",Multiagent Systems,"We analyze ways by which people decompose into groups in distributed systems. We are interested in systems in which an agent can increase its utility by connecting to other agents, but must also pay a cost that increases with the size of the system.
The right balance is achieved by the right size group of agents. We formulate and analyze three intuitive and realistic games and show how simple changes in the protocol can drastically improve the price of anarchy of these games. In particular,
we identify two important properties for a low price of anarchy: agreement in joining the system, and the possibility of appealing a rejection from a system. We show that the latter property is especially important if there are some preexisting constraints regarding who may collaborate (or communicate) with whom."
"Ranking Scientific Articles by Exploiting Citations, Authors, Journals and Time Information","Ranking Scientific Articles
Heterogenous Network
Dynamic Network","Preferences/Ranking Learning
Relational/Graph-Based Learning
Computational Social Science","Machine Learning
Applications","Ranking scientific articles is an important but challenging task, partly due to the dynamic nature of the evolving publication network. In this paper, we mainly focus on two problems: (1) how to rank articles in the heterogeneous network; and (2) how to use time information in the dynamic network in order to obtain a better ranking result. To tackle the problems, we propose a graph-based ranking method, which utilizes citations, authors, journals/conferences and the publication time information collaboratively. The experiments were carried out on two public datasets. The result shows that our approach is practical and ranks scientific articles more accurately than the state-of-art methods."
Optimizing Objective Function Parameters for Strength in Computer Game-Playing,"game playing
machine learning
objective function
evaluation function
shogi","Optimization
Evolutionary Computation
Supervised Learning (Other)
Games and Game Playing","Heuristic Search and Optimization
Machine Learning
Applications","The learning of evaluation functions from game records has been widely studied in the field of computer game-playing. Conventional learning methods optimize the evaluation function parameters by using the game records of expert players in order to imitate their plays. They utilize objective functions to increase the agreement between the moves selected by game-playing programs and the moves in the records of actual games. Such conventional methods, however, have a problem in that increasing this agreement does not always improve the strength of the program. Indeed, it is not clear how the agreement relates to the strength of the generated program. To address this problem, this paper presents a learning method to optimize objective function parameters for strength of playing. The proposed method employs an evolutionary learning algorithm with the Elo ratings of programs, which denote the strength, as their fitness scores. Experimental results show that the proposed method is effective and that programs that learn using the objective function produced by the proposed method are superior to those that learn using conventional objective functions."
Mixed Heuristic Local Search for Protein Structure Prediction,"Heuristics
Local search
Large neighborhood search
Protein structure prediction
Lattice models","Constraint Optimization
Heuristic Search
Optimization
Metareasoning and Metaheuristics
Evaluation and Analysis (Search and Optimization)
Search (General/Other)
Biomedical / Bioinformatics","Constraints and Satisfiability
Heuristic Search and Optimization
Applications","Protein structure prediction is an unsolved problem in computational biology. One great difficulty is due to the unknown factors in the actual energy function. Moreover, the energy models available are often not very informative particularly when spatially similar structures are compared during search. We introduce several novel heuristics to augment the energy model and present a new local search algorithm that exploits these heuristics in a mixed fashion. Although the heuristics individually are weaker in performance than the energy function, their combination interestingly produces stronger results. For standard benchmark proteins on the face centered cubic lattice and a realistic 20x20 energy model, we obtain structures with significantly lower energy than those obtained by the state-of-the-art algorithms. We also report results for these proteins using the same energy model on the cubic lattice."
HC-Search: Learning Heuristics and Cost Functions for Structured Prediction,"Structured prediction
Learning for search
Imitation learning",Structured Prediction,Machine Learning,"Structured prediction is the problem of learning a function from structured inputs to structured outputs with prototypical examples being part-of-speech tagging and image labeling. Inspired by the recent successes of search-based structured prediction, we introduce a new framework for structured prediction called {\em HC-Search}. Given a structured input, the framework uses a search procedure guided by a learned heuristic H to uncover high quality candidate outputs and then uses a separate learned cost function C to select a final prediction among those outputs. We can decompose the regret of the overall approach into the loss due to H not leading to high quality outputs, and the loss due to C not selecting the best among the generated outputs. Guided by this decomposition, we minimize the overall regret in a greedy stage-wise manner by first training H to quickly uncover high quality outputs via imitation learning, and then training C to correctly rank the outputs generated via H according to their true losses. Experiments on several benchmark domains show that our approach significantly outperforms the state-of-the-art methods."
Walking on Minimax Paths for k-NN Search,"k nearest neighbors
link-based dissimilarity
minimax paths",Relational/Graph-Based Learning,Machine Learning,"Link-based dissimilarity measures, such as shortest path or Euclidean commute time distance,
base their distance on paths between nodes of a weighted graph.
These measures are known to be better suited to data manifold with nonconvex-shaped clusters, compared to Euclidean distance,
so that k-nearest neighbor (NN) search is improved in such metric spaces.
In this paper we present a new link-based dissimilarity measure based on minimax paths between nodes.
Two main benefits of minimax path-based dissimilarity measure are: (1) only a subset of paths is considered
to make it scalable, while Euclidean commute time distance considers all possible paths;
(2) it better captures nonconvex-shaped cluster structure, compared to shortest path distance.
We define the total cost assigned to a path between nodes as L_p norm of intermediate costs of edges involving the path,
showing that minimax path emerges from our L_p norm over paths framework.
We also define minimax distance as the intermediate cost of the longest edge on the minimax path,
then present a greedy algorithm to compute k smallest minimax distances 
between a query and N data points in O(log N + klog k) time.
Numerical experiments demonstrate that our minimax k-NN algorithm reduce the search time by several orders of magnitude,
compared to existing methods, while the quality of k-NN search is significantly improved over Euclidean distance."
A Concave Conjugate Approach for Nonconvex Penalized Regression with the MCP Penalty,"nonconvex penalized regression
concave conjugate
minimax concave plus penalty (MCP)
augmented Lagrange multiplier
d.c. programming","Optimization
Dimension Reduction/Feature Selection
Supervised Learning (Other)","Heuristic Search and Optimization
Machine Learning","The minimax concave plus penalty (MCP) function has been demonstrated to be effective in nonconvex penalization for feature selection. In this paper we propose a novel construction approach for MCP. In particular, we show that MCP can be derived from a concave conjugate of the Euclidean distance function. This construction approach in turn leads us to an augmented Lagrange multiplier method for solving the penalized regression problem with the MCP penalty. In our method each feature corresponds to a distinct tuning parameter, and these tuning parameters can be automatically updated. We also develop a d.c. (difference of convex functions) programming approach for the penalized regression problem using the notion of concave conjugate. We show that the augmented Lagrange multiplier method degenerates into the d.c. method under specific conditions. We conduct experimental analysis on a set of simulated data. The result is encouraging."
Convex Subspace Representation Learning from Multi-view Data,"multi-view learning
subspace representation learning
convex optimization","Dimension Reduction/Feature Selection
Unsupervised Learning (Other)",Machine Learning,"Learning from multi-view data is important in many applications. In this paper, we propose a novel convex subspace representation learning method for multi-view clustering. We ﬁrst formulate the subspace learning in multiple views as one joint optimization problem with a common subspace representation matrix and a group sparsity inducing norm. By exploiting the properties of dual norms, we then show a convex min-max dual formulation with a sparsity inducing trace norm can be obtained. We develop a proximal bundle optimization algorithm to globally solve the min-max optimization problem. Our empirical study shows the proposed subspace representation learning can eﬀectively facilitate the multi-view clustering
task and outperform alternative multi-view clustering methods across diﬀerent scenarios."
Time-dependent Trajectory Regression on Road Networks via Multi-Task Learning,"Trajectory data mining
Temporal smoothness
Multi-task learning
Fused lasso","Data Mining and Knowledge Discovery
Transfer, Adaptation, Multitask Learning",Machine Learning,"Road travel costs are important knowledge hidden in large-scale GPS trajectory data set, the discovery of which can benefit many applications such as intelligent route planning and automatic driving navigation. While there are previous studies which tackled this task by modeling it as a regression problem with spatial smoothness taken into account, they unreasonably assumed that the latent cost of each road remains unchanged over time. Other works on route planning and recommendation that have considered temporal factors simply assumed temporal dynamics be known in advance as a parametric function over time, which is not faithful to reality. To overcome these limitations, in this paper, we propose an extension to a previous static trajectory regression framework by learning the temporal dynamics of road travel costs in an innovative non-parametric manner which can effectively overcome temporal sparsity problem. In particular, we unify multiple different trajectory regression problems in a multi-task framework by introducing a novel cross-task regularization factor which encourages temporal smoothness on the change of road travel costs. We then propose an efficient block coordinate descent method to solve the resulting problem by exploiting its separable structures and prove its convergence to global optimum. Experiments conducted on both synthetic and real data sets demonstrate the effectiveness of our method and its improved accuracy on travel time prediction."
Parameterized Complexity Results for Case-Based Planning,"parametrized complexity
theoretical foundations
case-based planning
plan reuse","Computational Complexity of Reasoning
Case-Based Reasoning
Replanning and Plan Repair
Planning (General/Other)","Knowledge Representation and Reasoning
Machine Learning
Reasoning about Plans, Processes, and Actions","Planning is a notoriously difficult computational problem of high worst-case complexity.  Researchers have been investing significant efforts to develop heuristics or restrictions to make planning practically feasible. Case-based planning is one of the heuristic approaches where one tries to reuse previous experience with solving similar problems in order to avoid some of the planning effort. Empirical work indicates that despite the need to store and retrieve the experiences, case-based planning can compete  with traditional generative planning. 

In this paper we provide theoretical results that identify situations in which the case-based approach is provably tractable.  We perform our analysis in the framework of parameterized complexity which supports a rigorous worst-case complexity analysis that takes structural properties of the input into account in terms of parameters. A central notion of parameterized complexity is fixed-parameter tractability which extends the classical notion of polynomial-time tractability by utilising the affect of parameters.
  
We draw a detailed map of the parameterized complexity landscape of several variants of problems that arise in the context of case-based planning. In particular, we consider the problem of reusing an existing plan, imposing various restrictions in terms of parameters, such as the number of steps that can be added to the
existing plan to turn it into a solution of the planning instance at hand."
Structured Kernel-Based Reinforcement Learning,"Reinforcement learning
Markov decision processes
Sequential decision making
Kernels","Reinforcement Learning
Sequential Decision Making","Machine Learning
Reasoning under Uncertainty","Kernel-based reinforcement learning (KBRL) is a popular approach to learning non-parametric value function approximations. In this paper, we present structured KBRL, a paradigm for kernel-based RL that allows for modeling the structure of problems. Real-world problems usually involve structure and can be solved more efficiently when the structure is modeled. Our paper makes the following three contributions. First, we motivate the idea of structured KBRL, define a corresponding backup operator, and prove that the operator is a contraction. Second, we show how to rewrite the operator such that it can be applied efficiently. Our analysis reveals that its fixed point is the optimal value function in a special factored MDP. Third, we evaluate our method on a synthetic problem and compare it to state-of-the-art KBRL baselines. In most cases, we learn better policies than the baselines from an order of magnitude less training data."
A Kernel Density Estimate-based approach to Component Goodness Modeling,"Run-time Fault Diagnosis
Bayesian Probability Update
Component Failure Probability","Diagnosis and Abductive Reasoning
Reasoning with Beliefs
Bayesian Learning
Uncertainty in AI (General/Other)","Knowledge Representation and Reasoning
Machine Learning
Reasoning under Uncertainty","Intermittent fault localization approaches account for the fact that faulty components may fail intermittently by considering a parameter (known as goodness) that quantifies the probability that faulty components may still exhibit correct behavior. Current, state-of-the-art approaches (1) assume that this goodness probability is context independent and (2) do not provide means for integrating past diagnosis experience in the diagnostic mechanism. In this paper, we present a novel approach, coined Non-linear Feedback-based Goodness Estimate (NFGE), that uses Kernel Density Estimations (KDE) to address such limitations. We evaluated the approach with both synthetic and real data, yielding lower estimation errors, thus increasing the diagnosis performance."
Timelines with Uncontrollability,"Timeline Planning
Uncontrollability
Temporal Planning
Satisfiability Modulo Theory","Scheduling
Temporal Planning
Planning (General/Other)","Reasoning about Plans, Processes, and Actions","Timelines have been proposed as an alternative to PDDL-based
modeling formalisms, to deal with domains where the temporal
aspects are predominant, and have been used in many real-world
applications.  Despite their practical success, a major
limitation is the inability to deal with temporal
uncertainty. This feature is pivotal in domains where the plan
executor cannot decide the actual duration of some activities and
the goal achievement must be guaranteed under a given set of
assumptions on action durations.

In this paper we make the following contributions. First, we
propose a comprehensive framework, that (conservatively) extends
the state of the art timeline approach with temporal
uncertainty. We provide a semantic foundation to the various
forms of planning problems.

Second, we focus on the problem of producing time-triggered plans
that are robust with respect to temporal uncertainty, under a
bounded horizon. In this setting, we present the first complete
algorithm, and we show how it can be made practical by leveraging
the power of Satisfiability Modulo Theories."
A Tensor-Variate Gaussian Process for Classification of Multidimensional Structured Data,"Tensor
Multilinear algebra
Gaussian processes classification
Kernel method","Classification
Kernel Methods
Supervised Learning (Other)",Machine Learning,"As tensors provide a natural and efficient representation of multidimensional structured data, in this paper, we consider probabilistic multinomial probit classification for tensor-variate inputs with Gaussian processes (GP)  priors  placed over the latent function.   In order to take into account the underlying multimodes structure information within the model, we propose a framework of probabilistic product kernels for tensorial data based on a generative model assumption.  More specifically, it can be interpreted  as mapping tensors to probability density function space and measuring similarity by an  information divergence. Since tensor kernels enable us to model input tensor observations, the proposed tensor-variate GP is considered as both a generative and discriminative model. Furthermore, a fully  variational Bayesian treatment for multiclass GP classification with multinomial probit likelihood is employed to estimate the hyperparameters and infer the predictive distributions. Simulation results on both synthetic data and a real world application of human action recognition in videos demonstrate the effectiveness and advantages of the proposed approach on classification of multiway tensor data, especially in the case that  the underlying  structure information among multimodes is discriminative for the classification task."
Discovering hierarchical structure for sources and entities,"Indian buffet process
Dyadid features
Probabilistic model
Gibbs sampling","Clustering
Data Mining and Knowledge Discovery",Machine Learning,"In this paper, we consider the problem of jointly learning hierarchies over a set of sources and entities based on their containment relationship. We model the concept of hierarchy using a set of latent binary features and propose a generative model that assigns those latent features to sources and entities in order to maximize the probability of the observed containment. To avoid fixing the number of features beforehand, we consider a non-parametric approach based on the Indian Buffet Process. The hierarchies produced by our algorithm can be used for completing missing associations and discovering structural bindings in the data. Using simulated and real datasets we provide empirical evidence of the effectiveness of the proposed approach in comparison to the existing hierarchy agnostic approaches."
Uncorrelated Lasso,"variable selection
Lasso
de-correlation
regression","Classification
Dimension Reduction/Feature Selection
Biomedical / Bioinformatics","Machine Learning
Applications","Lasso-type variable selection has increasingly expanded its machine learning applications. In this paper, uncorrelated Lasso is proposed for variable selection, where variable de-correlation is considered simultaneously with variable selection, so that selected variables are uncorrelated as much as possible. An effective iterative algorithm, with the proof of convergence, is presented to solve the sparse optimization problem. Experiments on benchmark data sets show that the proposed method has better classification performance than many state-of-the-art variable selection methods."
