paper_id,paper_title,author_keywords,abstract,session
79,A Clustering-based Grouping Model for Enhanceing Collaborative Learning,"collaborative learning, balanced K-means, group diversity","Group work is widely used in tertiary institutions due to the considerable advantages of collaborative learning. Previous studies indicated that the group diversity had positive influence on the group work achievement. Therefore, how to achieve diversity within a group effectively and automatically is an interesting question. In this paper we propose a novel clustering-based grouping model. The proposed technique first employs balanced K-means algorithm to divide the students into several size-balanced clusters, such that the students within the same cluster are more similar (in some sense) to each other than to those in other clusters, then adopts one-sample-each-cluster strategy to construct the groups1. We evaluated the proposed technique based on two small-scale case studies. The result observed may indicate that the clustering-based grouping model is feasible and effective.",Machine Learning Applications in Education II
80,Improving an Early Warning System to Prediction of Student Examination Achievement,"educational data mining (EDM), data mining, data warehouse, naive bayes, classification, estimation of students successes","In Turkey, there are many exams for transition to a higher education institution. These exams are all stages of life and have a great importance in the lives of students. As the severity rating of the exam, particularly students, parents and teachers are affected and exams create anxiety for students. Examination results are very important in shaping the lives of future students. Therefore, in this study is aimed to estimate the success of students, which is students' turning point in their lives, in the university entrance exam. The aim of this study, using data mining algorithms on the created student data warehouse, is to estimate the students' successes, who are taking the university entrance exam, by data mining. In this study, it has been improved a software considering Naive Bayes algorithms for student data warehouse. By that developed software by using C# languages, it is aimed to improve an early warning system that may estimate the states of the students' successes in university entrance exam for students and also for their families.",Machine Learning Applications in Education II
81,Investigating Sentimental Relation between Social Media Presence and Academic Success of Turkish Universities,"URAP Rankings, Social Networks, Sentiment Analysis, Twitter, Academic Success, Turkish Universities","In this study an approach that uses social networking data for developing sentiment analysis system is proposed. With the help of developed software, it is tried to find out whether there is any relation between universities' academic success and sentiment of the public about them in social media. After collecting enough text based data from Twitter, preprocessing of data is carried out and final data is trained by means of Nai¨ve Bayes Classifier. After testing process, experimental results have shown that developed sentiment analysis system can classify the tweets about top 10 universities according to URAP rankings in terms of their sentiment with the 72.33% success rate, and proposed methodology can be used by universities for understanding sentiment of the public about them in social media.",Machine Learning Applications in Education II
82,Next Generation Application-Layer DDoS Defences: Applying the Concepts of Outlier Detection in DataStreams with Concept Drift,"simulation, application layer DDoS, dynamic Web domain, intrusion detection &amp; defence, data stream with concept drift, outlier detection","The existing state-of-the art in the field of application-layer DDoS protection is generally designed, and thus effective, only for static Web-domains. To the best of our knowledge, this paper is the first one to study the problem of application-layer DDoS defense in Web-sites of dynamic content and/or organization and under non-trivial bot (i.e., Attack) behavior. The main contributions of the paper are threefold: 1) we provide a detailed taxonomy of the existing and next-generation application-layer HTTP-based DDoS attacks, 2) we discuss the relevance of a branch of data mining theory -- known as data streams with concept drift -- to the problem of application-layer DDoS defense in dynamic Web-domains, 3) we present the outline of our next-generation anti-DDoS system that is intended for dynamic Web-domains facing different sophisticated variants of application-layer DDoS attacks. The paper also includes some of our preliminary experimental results concerning the detection of malicious Web-users/sessions using the proposed system.",Machine Learning in Information and System Security Issues
83,TSD: Detecting Sybil Accounts in Twitter,"Spamdexing, Social networks, Sybil account, Fake user accounts, Twitter, Web spam, Content spam","Fake identities and user accounts (also called ""Sybils"") in online communities represent today a treasure for adversaries to spread fake product reviews, malware and spam on social networks, and Astroturf political campaigns. State-of-the-art in the defense mechanisms includes Automated Turing Tests (ATTs such as CAPTCHAs) and graph-based Sybil detectors. Sybil detectors in social networks leverage the assumption that Sybils will find it hard to befriend real users which leads to Sybils being connected to each other forming strongly connected sub graphs that can be detected using graph theory. However, the large majority of Sybils are in fact successful in integrating themselves into real user communities (such as the case in Twitter and Facebook). In this paper, we first study and compare the current detection mechanisms of Sybil accounts. We also explore various types of Twitter Sybil accounts detection features with the objective of building an effective and practical classifier. In order to build and evaluate our classifier, we collect and manually label a dataset of twitter accounts, including human users, bots, and hybrid (i.e., Tweets are posted by both human and bots). We believe this Twitter Sybils corpus will help researchers in conducting sound measurement studies. We also develop a browser plug-in (that we call Twitter Sybils Detector or TSD for short) that utilizes our classifier and warns the user about possible Sybil accounts before accessing them, upon clicking on a Twitter account.",Machine Learning in Information and System Security Issues
84,An Intelligent Technique for Detecting Malicious Users on Mobile Stores,"mobile store security, resource exhausting, artificial neural network (ANN), DoS attack","In this study, malicious users who cause to resource exhausting are tried to detect in a telecommunication company network. Non-Legitimate users could cause lack of information availability and need countermeasures to prevent threat or limit permissions on the system. For this purpose, ANN based intelligent system is proposed and compared to SVM which is well known classification technique. According to results, proposed technique has achieved approximately 70% general success rate, 33% false positive rate and 27% false negative rate in controlled environment. Also ANN has high ability to work compare to SVM for our dataset. As a result proposed technique and developed application shows sufficient and acceptable defense mechanism in huge company networks. We discussed about this is initial study and ongoing research which is compared to the current literature. By the way, this study also shows that non security information such as users mobile experiences could be potential usage to prevent resource exhausting also known as DoS related attacks.",Machine Learning in Information and System Security Issues
85,Age Estimation from Fingerprints: Examination of the Population in Turkey,"KNN, Fingerprint, age, classification","This paper focuses on a new approach to estimate ages from fingerprints. In the current study, a total number of 500 fingerprints from 10 fingers of 50 Turkish citizens were collected to estimate the ages of the participants from their fingerprints. Their full fingerprints were first taken and then the fingerprints were converted to binary images. Then, a matrix of 1×153600 was achieved from the binary images. Based on these distances, the fingerprint data were classified using KNN classification algorithm. An average success rate of 93.3% was obtained in males aged between 18-24 while 83.0% average success rate was obtained in females in the same age group. The initial results have shown that the proposed new method is very successful in estimating ages from fingerprints. It is expected that the proposed method will find more attentions especially for criminal cases.",Machine Learning in Information and System Security Issues
86,Diagnosis using incomplete model in fuzzy discrete event system: Application to crisis management,Fuzzy discrete event system; fault diagnosis; crisis management; incompete model,"This paper presents a novel diagnosis approach for crisis management using fuzzy discrete event system (model). The method exploits the output events and membership value of each active state as input events of the diagnoser (diagnosis module). In our work the choice of fuzzy system representation is justified by the assumption that, during crisis management, the stress and/or impact emotion of the teams involved in crisis management must be taken into account and the evolution of the situation may not necessarily in one active state. The membership value generated by the model can be used for the possible control action during the crisis management.",Machine Learning in Energy Applications
87,Incremental SVD for Insight into Wind Generation,"Vectors,Matrix decomposition,Approximation methods,Singular value decomposition,Wind speed","In this paper, we formulate the problem of predicting wind generation as one of streaming data analysis. We want to understand if it is possible to use the weather data in a time window just before the current time to gain insight into how the wind generation might behave in a time interval just after the current time. Specifically, we use a singular value decomposition of the weather data, and how that the number of singular values and the largest singular value can be used to predict the magnitude of the change in the generation in the near future. The analysis uses an incremental algorithm based on a sliding window for reduced computational costs.",Machine Learning in Energy Applications
88,Transient Characteristics of DC-DC Converter with PID Parameters Selection and Neural Network Control,"neural network, dc-dc converter, PID control","This paper presents a neural network based PID parameter selection control to improve the transient response of dc-dc converters. In the conventional PID control, parameters of it such as proportional, integral, and differential coefficients are selected as fixed parameters to regulate both transient and steady-state characteristics simultaneously as much as possible. The parameter setting of PID control is not optimal for the improvement of transient-state characteristics since the setting needs to satisfy stable steady-state characteristics. Therefore, the parameter selection for different states is widely applicable from the point of view of the improvement of transient response. In this study, we present a novel parameter selection method for PID control based on the load change prediction of neural network to improve the transient response of dc-dc converter. In the presented method, suitable PID parameters are selected with neural network. This neural network is trained to predict the load change from the output voltage of dc-dc converter in advance. From the predicted result of neural network, PID parameters are changed to optimal ones after the load change occurs. Additionally, the reference modification with another neural network, which is trained to modify the reference value of PID control, is also adopted simultaneously to obtain more effective improvement of transient response. From evaluation results, we confirm that our presented method contributes to obtain an effective improvement of the transient response compared to the conventional PID control.",Machine Learning in Energy Applications
89,Intelligent Crude Oil Price Forecaster,"Gaussian process, Ensemble Learning, Online Learning, Crude oil price forecasting, linear regression, support vector machine, decision tree","We propose two ensemble regression algorithms for forecasting the daily price of crude oil from features extracted from the U.S. Energy Administration and some international news agencies. An ensemble regression model consists of a group of homogeneous regressors with varying parameters, e.g. Linear regression models with different ridge regularization parameters. The first ensemble method called ""recent leader"" picks the individual regressor with least mean square error over recent data. The second model called ""exponentially weighted ensemble"" combines individual regressors in a linear fashion with weights of constituent models decaying exponentially with the mean square error over past predictions. These two methods were tested with linear regression, support vector regression, decision trees and Gaussian processes. Exponentially weighted ensemble with support vector regression had the best performance.",Machine Learning in Energy Applications
90,Improved Selection of Auxiliary Objectives Using Reinforcement Learning in Non-stationary Environment,"non-stationary, objective selection, multiobjectivization, auxiliary objectives, ea+rl, reinforcement learning","Efficiency of evolutionary algorithms can be increased by using auxiliary objectives. The method which is called EA+RL is considered. In this method a reinforcement learning (RL) algorithm is used to select objectives in evolutionary algorithms (EA) during optimization. In earlier studies, reinforcement learning algorithms for stationary environments were used in the EA+RL method. However, if behavior of auxiliary objectives change during the optimization process, it can be better to use reinforcement learning algorithms which are specially developed for non-stationary environments. In our previous work we proposed a new reinforcement learning algorithm to be used in the EA+RL method. In this work we propose an improved version of that algorithm. The new algorithm is applied to a non-stationary problem and compared with the methods which were used in other studies. It is shown that the proposed method achieves optimal value more often and obtains higher values of the target objective than the other algorithms","Machine Learning Algorithms, Systems and Applications"
91,A New Algorithm for Adaptive Online Selection of Auxiliary Objectives,"parameter control, reinforcement learning, multi-objectivization, evolutionary algorithms","Consider optimization problems, where a target objective should be optimized. Some auxiliary objectives can be used to obtain the optimum of the target objective in less number of objective evaluations. We call such auxiliary objective a supporting one. Usually there is no prior knowledge about properties of auxiliary objectives, some objectives can be obstructive as well. What is more, an auxiliary objective can be both supporting and obstructive at different stages of the target objective optimization. Thus, an adaptive online method of objective selection is needed. Earlier, we proposed a method for doing that, which is based on reinforcement learning. In this paper, a new algorithm for adaptive online selection of optimization objectives is proposed. The algorithm meets the interface of a reinforcement learning agent, so it can be fit into the previously proposed framework. The new algorithm is applied for solving some benchmark problems with single-objective evolutionary algorithms. Specifically, Leading Ones with OneMax auxiliary objective is considered, as well as the MH-IFF problem. Experimental results are presented. The proposed algorithm outperforms Q-learning and random objective selection on the considered problems.","Machine Learning Algorithms, Systems and Applications"
92,Iterative Hard Thresholding for Keyword Extraction from Large Text Corpora,"text analysis,information retrieval,iterative methods,statistical analysis","To better understand and analyze text corpora, such as the news, it is often useful to extract keywords that are meaningfully associated with a given topic. A corpus of documents labeled by their topic can be used to approach this as a learning problem. We consider this problem through the lens of statistical text analysis, using bag-of-words frequencies as features for a sparse linear model. We demonstrate, through numerical experiments, that iterative hard thresholding (IHT) is a practical and effective algorithm for keyword-extraction from large text corpora. In fact, our implementation of IHT can quickly analyze more than 800,000 documents, returning keywords comparable to algorithms solving a Lasso problem-formulation, with significantly less computation time. Further, we generalize the analysis of the IHT algorithm to show that it is stable for rank deficient matrices, as those arising from our bag-of-words model often are.","Machine Learning Algorithms, Systems and Applications"
93,A Novel Bayesian Network Based Scheme for Finding the Optimal Solution to Stochastic Online Equi-partitioning Problems,"Bayes methods,Partitioning algorithms,Meteorology,Noise,Stochastic processes,Convergence,Probabilistic logic","A number of intriguing decision scenarios, such as order picking, revolve around partitioning a collection of objects so as to optimize some application specific objective function. In its general form, this problem is referred to as the Object Partitioning Problem (OOP), known to be NP-hard. We here consider a variant of OPP, namely the Stochastic Online Equi-Partitioning Problem (SO-EPP). In SO-EPP, objects arrive sequentially, in pairs. The relationship between the arriving object pairs is stochastic: They belong to the same partition with probability p. From a history of object arrivals, the goal is to predict which objects will appear together in future arrivals. As an additional complication, the partitions of related objects are required to be of equal cardinality. The decision maker, however, is not informed about the true relation between the objects, he is merely observing the stream of object pairs, and has to predict future behavior. Inferring the correct partitioning from historical behavior is thus a significant challenge, which becomes even more difficult when p is unknown. Previously, only heuristic sub-optimal solution strategies have been proposed for SO-EPP. In this paper, we propose the first it optimal solution strategy. In brief, the scheme that we propose, BN-EPP, is founded on a Bayesian Network representation of SO-EPP problems. Based on probabilistic reasoning we are not only able to infer the correct object partitioning with optimal accuracy. We are also able to simultaneously infer p, allowing us to accelerate learning as object pairs arrive. Being optimal, BN-EPP provides superior performance compared to existing state-of-the-art solution schemes. BN-EPP is also highly flexible, being capable of encoding object partitioning constraints. Finally, BN-EPP is parameter free - its performance does not rely on fine tuning any parameters. As a result of these advantages, BN-EPP opens up for significantly improved performance for OOP based applications.","Machine Learning Algorithms, Systems and Applications"
94,Automatic Gender Classification System from Finger 2D: 4D Ratio and Comparison of Successes with Using Different Algorithm,"Classification Algorithms, 2D:4D, Mass Deaths, Automatic Gender Estimation, Index and Ring Finger Ratio","High rate of correctness of the information in determining the identity of corpses in mass deaths in such disasters as aircraft, high-speed train or sea accidents and fires, where people are damaged to an extent that they cannot be identified, and the method followed are main elements. In this study, a dataset was formed by taking the index finger, ring finger, height and ages of 67 Turkish men and 56 Turkish women. The dataset was used for identifying the sex of the person and thus, information that could reveal the identity of the information was obtained. LAD Tree algorithm, Naive Bayes algorithm, KNN algorithm and C4.5 algorithm were tried on the datasets. C4.5 algorithm had the highest rate of success in determining sex with a rate of 93%. Therefore, automatic sex classification was made using C4.5 algorithm. Studies revealed that 2D:4D ratio varies in different sexes and races. Moving from these studies, sex was determined from the ratio of index finger to ring finger. When compared with the existing studies in the literature on different races, it was proved that race also can be determined. It was found that left hand provided higher success in finger ratio use in identifying sex compared to the right hand.","Machine Learning Algorithms, Systems and Applications"
95,Dynamic Inclusion of New Event Types in Visual Inspection using Evolving Classifiers,"expected change in classifier's accuracy, visual inspection, new event types, integration of new classes on-the-fly, evolving (fuzzy) classifiers","In this paper, we are dealing with the automatic inclusion of new event types in visual inspection systems. Within the context of image classification for recognizing ""OK"" and ""not OK"" parts, a certain event can be directly associated with a class, as events are usually independent and disjoint from each other. In this sense, we are dealing with the problem of integrating a new class into the image classifier on-the-fly, once specified on-line by an operator. We are using evolving fuzzy classifiers (EFC), which are relying on fuzzy rule bases and are able to adapt their structure and update their parameters in incremental manner. The novel methodological aspects lie (1.) in appropriate structural changes in the EFC whenever a new class appears and (2.) in the estimation of the expected change in classifier accuracy on the older classes seen before, which is based on an analysis of the expected change in the classifier's decision boundaries. The second point is an important aspect for operators, as they are already familiar to work with established classifiers that have some accuracy in classification. The new concepts will be evaluated on a real-world visual inspection scenario, where the main tasks is to classify event types which may occur on micro-fluidic chips and may lead to the deterioration of their quality.",Adaptive Data-Driven Modeling in Dynamic Environments and On-line Processes
96,Speeding Learning of Personalized Audio Equalization,"personalized item, audio equalizer, transfer learning, collaborative filtering","Audio equalizers (EQs) are perhaps the most commonly used tools used in audio production. The SocialEQ project is a web-based personalized audio equalization system that uses an alternative interface paradigm to the standard approach. Here, the user names a desired effect (e.g. Make the sound ""warm"") and teaches the tool (e.g. An equalizer) what settings make the sound embody the term. Social EQ typically requires 25 ratings to properly personalize the equalization settings. In this paper, we present three methods to improve the speed of generating personalized items (audio settings) so users can be provided personalized EQ curves after rating a much smaller number of examples. These methods can be adapted to any situation where collaborative filtering is desirable, the end products created for users are unique and comparable to each other, but prior users did not rate the same set of examples as the current user. Methods are tested on a data set of 1635 user sessions.",Adaptive Data-Driven Modeling in Dynamic Environments and On-line Processes
97,A Semi-supervised Clustering Approach for Semantic Slot Labelling,"natural language processing, semantic slot labelling, semi-supervised learning, interactive systems","Work on training semantic slot labellers for use in Natural Language Processing applications has typically either relied on large amounts of labelled input data, or has assumed entirely unlabelled inputs. The former technique tends to be costly to apply, while the latter is often not as accurate as its supervised counterpart. Here, we present a semi-supervised learning approach that automatically labels the semantic slots in a set of training data and aims to strike a balance between the dependence on labelled data and prediction accuracy. The essence of our algorithm is to cluster clauses based on a similarity function that combines lexical and semantic information. We present experiments that compare different similarity functions for both our semi-supervised setting and a fully unsupervised baseline. While semi-supervised learning expectedly outperforms unsupervised learning, our results show that this effect can be observed based on very few training data instances and that increasing the size of the training data does not lead to better performance, and that lexical and semantic information contribute differently in different domains so that clustering based on both types of information offers the best generalisation.",Adaptive Data-Driven Modeling in Dynamic Environments and On-line Processes
98,Multimodal Music and Lyrics Fusion Classifier for Artist Identification,"classification, multimodal, sparse methods, audio","Humans interact with each other using different communication modalities including speech, gestures and written documents. In the absence of one modality or presence of a noisy modality, other modalities can benefit precision of systems. HCI systems can also benefit from these multimodal communication models for different machine learning tasks. The provision of multiple modalities is motivated by usability, presence of noise in one modality and non-universality of a single modality. Combining multimodal information introduces new challenges to machine learning such as designing fusion classifiers. In this paper we explore the multimodal fusion of audio and lyrics for music artist identification. We compare our results with a single modality artist classifier and introduce new directions for designing a fusion classifier.",Machine Learning in Visual Information Processing
99,Machine-Sourced Segmentations vs. Expert-Sourced Segmentations for the Classification of Lung Nodules with Outlier Removal,"machine-sourced, computer-aided diagnosis, crowd-sourcing, lung cancer, segmentation","Computer-aided diagnosis systems can provide additional opinions that serve as an aid to radiologists in the early detection of lung nodules. Previous CAD models have relied on radiologist-delineated contours to extract image features and classify lung nodules into semantic ratings. Manually creating these contours can be time-consuming and expensive. This paper proposes a different CAD system based on multiple machine-sourced segmentations that can provide semantic ratings at least as accurate as a panel of experts in order to aid in the diagnostic process. However, the mass production of machine-sourced segmentations may sometimes produce unwanted noise. Therefore, we propose to filter out the bad segmentations by applying an outlier detection algorithm that identifies segmentations that are far away from the majority of the segmentations. Our results are compared to a CAD system based on expert-sourced contours and a reference truth generated by radiologists' semantic ratings. Using the Lung Image Database Consortium dataset, we show that machine-sourced segmentations provide predictions at least as good as expert-sourced segmentations and how outlier removal affects mostly shape-dependent semantic ratings.",Machine Learning in Visual Information Processing
100,Tool Machines with Brains - Touchless Wheel Alignment with Neural Networks,"training with noisy data, wheel alignment, 2-dim distance measure, neural network, kohonen self organizing network, association map","This document describes a proof of concept for a new approach for next generation wheel alignment systems. We propose to measure the relevant angels with Kohonen self organizing networks from an image of a heavy precision camera, instead of a projecting system clamped on the wheel. This has the clear advantage, that we do not need to attach a specially designed clamp which holds on to a wheel with mirrors, scales or LEDs. That for the target system will shot a photo from each wheel from a well determined position and calculate the relevant angels from it with Kohonen self organizing neural networks. We compare the utility for several distance measures to retrieve the best association map which determines the necessary coordinates. The system is designed as a learning system that needs a certain amount of training. The training is designed, that it surely converges after a well determined number of runs. We further optimize the training using noisy data. The system is designed for car manufacturers, that need to measure many similar cars on a daily basis",Machine Learning in Visual Information Processing
101,Performance Comparison of Major Classical Face Recognition Techniques,"Blind source seperation, face recognition, feature vector, eigenfaces, eigenvalues, eigenvector, Small sample size problem","The goal of this paper is to present a critical comparison of existing classical techniques on recognition of human faces. This paper describes the four major classical face recognition techniques i.e., i) Principal Component Analysis (PCA), ii) Linear Discriminant Analysis (LDA), iii) Discrete Cosine Transform (DCT), and iv) Independent Component Analysis (ICA). Strong and weak features of these techniques are discussed. The paper then provides performance comparison and a generalized discussion of the training requirements for these face recognition techniques. Extensive experimental results with three publicly available databases (ORL, Yale, FERET databases) are provided. Performance comparison of recognizing face images taken under varying facial expressions, varying lighting condition and varying poses are discussed.",Machine Learning in Visual Information Processing
102,Assessment of Different Image Clutter Metrics Using Multivariate Analyses and Neurofuzzy System,"target detection, computer vision, statistical image clutter metrics, multivariate analyses, neurofuzzy system","Image processing is the most frequently used technique in computer vision like target detection of monitored target images to recognize background clutter and observed target images. To evaluate the performance of various image processing algorithms, image clutter metrics are very important and useful factors for the better visual conception such as increasing the probability of detection, decreasing the false alarm rate, or a relatively shorter searching time. In this paper, different image clutter metrics such as probability of detection, false alarm rate, and search time, are assessed by the statistical analysis techniques and neurofuzzy systems through applying other statistical image clutter metrics in order to improve the machine visual conception with resolving the machine cognitive constraints for the computer vision.",Machine Learning in Visual Information Processing
103,Causal Discovery from Spatio-Temporal Data with Applications to Climate Science,"spatio-temporal data, causal discovery, graphical model, structure learning, climate science, climate","Causal discovery algorithms have been used to identify potential cause-effect relationships from observational data for decades. Recently more applications are emerging, for example in climate science, that extend over large spatial domains and require temporal models. This paper first reviews how the causal discovery problem can be set up for such spatiotemporal problems using constraint-based structure learning, then discusses pitfalls we encountered and some solutions we developed. In particular, we consider how to handle temporal and spatial boundaries (which often result in causal sufficiency violations) and discuss the effects of temporal resolution and grid irregularities on the resulting model.",Machine learning of graphical models in static and dynamic complex environments
104,Graphical Model Based Approach for Fault Diagnosis of Wind Turbines,"the lasso estimate, Wind turbine, pitch system","Wind turbine operation and maintenance costs depend on the reliability of its components. Thus, a critical task is to detect and isolate faults, as fast as possible, and restore optimal operating conditions in the shortest time. In this paper, a machine learning of graphical models approach is proposed for fault diagnosis of wind turbines, in particular pitch system. The role of the latter is to adjust the blade pitch angle by rotating it according to the current wind speed in order to optimize the wind turbine power production. This is achieved by a controller based on blade pitch angles measured by two redundant sensors in each blade. Without the sensor accuracy reading, the controller can be misled and fail to achieve the optimal control strategy according to the current operation conditions. In addition, pitch angle sensors complete failure can lead to dangerous actions of the controller, while fixed or drifted bias of sensor measurements may decrease the controller's efficiency. To better control and overcome these challenges, we propose a methodology that is based on Gaussian acyclic graphical models and the lasso estimate. The methodology has shown the ability to model, and diagnose faults that occur in the pitch system in wind turbines during its normal run and could lead to a fast recovery to the optimal operating conditions.",Machine learning of graphical models in static and dynamic complex environments
105,A Directed Acyclic Graphical Approach and Ensemble Feature Selection for a Better Drug Development Strategy Using Partial Knowledge from KEGG Signalling Pathways,"drug-design, Machine learning, feature selection, KEGG signalling pathways","In this paper we consider the application of machine learning of graphical models and feature selection for developing better drug-design strategies. The work discussed in this paper is based on utilizing partial prior knowledge available through KEGG signalling pathway database in tan dim with our recent developed ensemble feature selection methods for a better regularisation of the lasso estimate. This work adds an extra layer of previously unseen knowledge in KEGG signalling pathways that embodies infering the underlying connectivity between gene-families implicated in breast cancer in MAPK-signalling pathway in response to application of anti-cancer drugs ""neoadjuvant docetaxel"".",Machine learning of graphical models in static and dynamic complex environments
